,abiturient_id,spec_id,status,predmet_1,predmet_2,predmet_3,predmet_1_bal,predmet_2_bal,predmet_3_bal,edu_form,fin_type,sum_bal
108,202100671,16,0,Математика,Физика,Русский язык,80,83,94,1,1,246
109,202100723,21,0,Математика,Физика,Русский язык,70,49,72,1,1,168
110,202100723,6,0,Математика,Физика,Русский язык,70,49,72,1,1,168
111,202100723,11,0,Математика,Физика,Русский язык,70,49,72,1,1,168
112,202100723,19,0,Математика,Физика,Русский язык,70,49,72,1,1,168
113,202100723,15,0,Математика,Физика,Русский язык,70,49,72,1,1,168
114,202100731,13,0,Математика,Физика,Русский язык,68,66,86,1,1,200
115,202100731,18,0,Математика,Физика,Русский язык,68,66,86,1,1,200
116,202100731,8,0,Математика,Физика,Русский язык,68,66,86,1,1,200
117,202100747,34,0,Математика,Физика,Русский язык,84,57,80,1,1,198
118,202100747,37,0,Математика,Физика,Русский язык,84,57,80,1,1,198
119,202100710,20,1,Математика,Физика,Русский язык,68,52,72,1,1,172
120,202100710,32,0,Математика,Физика,Русский язык,68,52,72,1,1,172
121,202100710,10,0,Математика,Физика,Русский язык,68,52,72,1,1,172
122,202100710,30,0,Математика,Физика,Русский язык,68,52,72,1,1,172
123,202100710,31,0,Математика,Физика,Русский язык,68,52,72,1,1,172
124,202100739,10,0,Математика,Физика,Русский язык,62,61,76,1,1,184
125,202100739,16,0,Математика,Физика,Русский язык,62,61,76,1,1,184
126,202100739,5,0,Математика,Физика,Русский язык,62,61,76,1,1,184
127,202100166,30,0,Математика,Физика,Русский язык,56,47,61,1,1,150
128,202100589,33,0,Математика,Физика,Русский язык,45,49,64,1,2,143
129,202100589,9,0,Математика,Физика,Русский язык,45,49,64,1,2,143
130,202100589,12,0,Математика,Физика,Русский язык,45,49,64,1,2,143
131,202100589,34,0,Математика,Физика,Русский язык,45,49,64,1,2,143
132,202100589,11,0,Математика,Физика,Русский язык,45,49,64,1,2,143
133,202100508,36,0,Математика,Информатика и ИКТ,Русский язык,62,83,86,1,1,228
134,202100508,35,1,Математика,Информатика и ИКТ,Русский язык,62,83,86,1,1,228
135,202100508,3,0,Математика,Информатика и ИКТ,Русский язык,62,83,86,1,1,228
136,202100508,2,0,Математика,Информатика и ИКТ,Русский язык,62,83,86,1,1,228
137,202100508,1,0,Математика,Информатика и ИКТ,Русский язык,62,83,86,1,1,228
